placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/10001,10001,2022,27004,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,72740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2022,76518,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,27471,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2022,53877,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,78110,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2022,4579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,130897,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2022,8801,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,115806,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2022,3736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,113427,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2022,7506,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,132163,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10009,10009,2022,58418,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,57133,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10010,10010,2022,32410,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,97905,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10011,10011,2022,50772,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,102555,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10012,10012,2022,21216,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,79845,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10013,10013,2022,29453,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,71779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
